时间,价格,数量,买卖方向
9:15:00,41.35,6,2B
9:15:00,41.51,6,2B
9:15:00,40.21,1,2B
9:15:00,42,1,2S
9:15:00,42.5,1,2S
9:15:00,43,1,2S
9:15:00,43.5,1,2S
9:15:00,38,10,2B
9:15:00,44.89,11,2S
9:15:00,44,1,2S
9:15:00,41,1,2B
9:15:00,37.58,1,2S
9:15:00,41.23,1,2B
9:15:00,40.73,1,2B
9:15:00,43.7,2,2S
9:15:00,44.34,2,2S
9:15:00,42.97,1,2S
9:15:00,41.01,1,2B
9:15:00,42.92,2,2S
9:15:00,41.01,3,2B
9:15:00,44.57,3,2S
9:15:00,40.9,3,2B
9:15:00,45.94,3,2B
9:15:00,39.88,1,2B
9:15:00,41.05,3,2B
9:15:00,42.5,3,2S
9:15:00,44.27,1,2S
9:15:00,43.83,2,2S
9:15:00,42.98,20,2S
9:15:00,40.81,71,2B
9:15:00,43.27,1,2S
9:15:00,44.08,2,2S
9:15:00,43,3,2S
9:15:00,39.8,1,2B
9:15:00,38.57,1,2B
9:15:00,42.8,10,2S
9:15:00,44.88,4,2S
9:15:00,41.06,3,2B
9:15:00,40.56,5,2B
9:15:00,40.65,3,2B
9:15:00,40.7,3,2B
9:15:00,41,4,2B
9:15:01,41,10,2B
9:15:01,40.03,50,2B
9:15:01,40.56,2,2B
9:15:01,40.6,3,2B
9:15:01,40.88,2,2B
9:15:01,45.2,2,2S
9:15:01,43,4,2S
9:15:01,40.3,2,2B
9:15:01,43.8,10,2S
9:15:01,41.12,9,2B
9:15:01,40.62,9,2B
9:15:01,42.74,8,2S
9:15:01,43.25,8,2S
9:15:01,43.87,8,2S
9:15:01,38,20,2B
9:15:02,38,2,2B
9:15:02,44.89,1,2S
9:15:02,42.96,4,2S
9:15:02,41.01,1,2B
9:15:02,41.14,3,2B
9:15:02,41.11,3,2B
9:15:02,42.5,12,2S
9:15:02,42.25,4,2S
9:15:02,41.25,8,2B
9:15:02,45,1,2S
9:15:02,41.25,16,2B
9:15:02,41.73,4,2B
9:15:02,41.98,4,2S
9:15:02,42.25,4,2S
9:15:02,42.49,4,2S
9:15:02,45.9,4,2S
9:15:02,42.96,5,2S
9:15:02,41.02,5,2B
9:15:02,43.56,4,2S
9:15:03,43.75,4,2S
9:15:03,41.51,1,2B
9:15:03,42.75,4,2S
9:15:03,45.8,10,2S
9:15:03,41.01,2,2B
9:15:03,42.05,5,2S
9:15:03,40.62,4,2B
9:15:03,42.45,3,2S
9:15:04,39.58,4,2B
9:15:05,41.76,1,2B
9:15:10,41.76,1,BC
9:15:59,41.12,20,2B
9:16:59,41.02,2,2B
9:17:09,41.02,2,2B
9:18:14,42.58,1,2S
9:19:24,37.58,1,2S
9:20:00,42,3,2S
9:21:21,40.82,2,2B
9:21:57,45.94,55,2S
9:22:03,42.88,1,2S
9:22:10,44.3,3,2S
9:22:18,37.58,2,2S
9:22:50,41.99,11,2S
9:22:58,42,31,2S
9:23:04,42.4,1,2S
9:23:07,43.2,2,2S
9:23:07,41.87,5,2S
9:23:18,41.71,6,2B
9:23:35,42,80,2S
9:24:08,41.7,8,2S
9:24:09,41.7,1,2S
9:24:17,41.02,10,2B
9:24:20,40.92,29,2S
9:24:21,37.58,1,2S
9:24:21,37.58,1,2S
9:24:27,40.92,32,2S
9:24:30,37.58,1,2S
9:24:30,37.58,1,2S
9:24:35,42,5,2S
9:24:37,41.16,16,2B
9:24:40,41.26,13,2B
9:24:47,41.26,3,2B
9:24:48,40.73,5,2S
9:24:49,41.21,2,2B
9:24:53,40.01,1,2B
9:24:54,41.14,7,2S
9:24:55,41.39,6,2B
9:24:56,41.39,4,2B
9:24:56,41.31,34,2B
9:24:56,41.57,1,2B
9:24:57,37.58,1,2S
9:24:57,37.58,1,2S
9:24:58,41.31,2,2B
9:30:00,41.27,22,2B
9:30:00,41.69,22,2S
9:30:00,42.45,5,2S
9:30:00,41.05,5,2B
9:30:00,41.27,19,2B
9:30:00,41.27,53,2B
9:30:00,41.69,52,2S
9:30:00,41.69,1,2S
9:30:00,41.28,2,2B
9:30:00,41.27,26,2B
9:30:00,41.28,55,2B
9:30:00,41.68,23,2S
9:30:00,41.28,30,2B
9:30:00,41.68,8,2S
9:30:00,41.68,11,2S
9:30:00,41,1,2B
9:30:00,41.28,2,2B
9:30:00,41.68,12,2S
9:30:00,41.28,1,2B
