时间,价格,数量,买卖方向
9:15:00,9.46,10,2S
9:15:00,8.46,1,2B
9:15:00,9.59,2545,2S
9:15:00,9.29,24,2S
9:15:00,9.34,25,2S
9:15:00,9.39,25,2S
9:15:00,9.5,1,2S
9:15:00,9.44,25,2S
9:15:00,9.49,25,2S
9:15:00,9.01,24,2B
9:15:00,9.09,1000,2B
9:15:00,8.96,24,2B
9:15:00,8.91,24,2B
9:15:00,9.3,10,2S
9:15:00,9.08,10,2B
9:15:00,9.31,2,2S
9:15:00,9.45,2,2S
9:15:00,9.32,15,2S
9:15:00,9.12,15,2B
9:15:00,8.55,10,2B
9:15:00,9.55,10,2S
9:15:00,10.05,10,2S
9:15:00,8.3,10,2B
9:15:00,9.3,10,2S
9:15:00,9.8,10,2S
9:15:00,9.34,100,2S
9:15:00,9.15,8,2B
9:15:00,9.02,8,2B
9:15:00,9.3,20,2S
9:15:00,9.26,2,2S
9:15:00,9.55,30,2S
9:15:00,9.35,50,2S
9:15:00,8.7,40,2B
9:15:00,8.4,40,2B
9:15:00,9.98,10,2S
9:15:00,9.4,1,2S
9:15:00,9.45,12,2S
9:15:00,9.7,1,2S
9:15:00,9.6,15,2S
9:15:00,9.4,6,2S
9:15:00,9.5,6,2S
9:15:00,9.6,6,2S
9:15:00,9.7,6,2S
9:15:00,9.8,6,2S
9:15:00,9.9,6,2S
9:15:00,10,6,2S
9:15:00,9.8,1,2S
9:15:00,9.9,1,2S
9:15:00,10.1,6,2S
9:15:00,9.2,1,2B
9:15:00,9.25,6,2S
9:15:00,9.35,6,2S
9:15:00,9.45,6,2S
9:15:00,9.55,6,2S
9:15:00,9.43,3,2S
9:15:00,9.65,6,2S
9:15:00,9.75,6,2S
9:15:00,9.85,6,2S
9:15:00,9.95,6,2S
9:15:00,10.05,6,2S
9:15:00,9,6,2B
9:15:00,9.27,6,2S
9:15:00,9.33,44,2S
9:15:00,9.77,60,2S
9:15:00,9.8,30,2S
9:15:00,9.8,40,2S
9:15:00,9.8,20,2S
9:15:00,9.8,20,2S
9:15:00,9.8,40,2S
9:15:00,9.8,20,2S
9:15:00,9.86,5,2S
9:15:00,10.12,60,2S
9:15:00,9.49,5,2S
9:15:00,9.57,27,2S
9:15:00,9.48,31,2S
9:15:00,9.24,30,2S
9:15:00,9.29,30,2S
9:15:00,9.38,30,2S
9:15:00,8.96,50,2B
9:15:00,8.91,50,2B
9:15:00,8.89,50,2B
9:15:00,9.25,5,2S
9:15:00,9.5,5,2S
9:15:00,9.75,5,2S
9:15:00,10,5,2S
9:15:00,8.5,5,2B
9:15:00,8.28,5,2B
9:15:00,9.11,40,2B
9:15:00,9.16,100,2B
9:15:00,9.3,70,2S
9:15:00,9.4,70,2S
9:15:00,9.5,70,2S
9:15:00,9.6,70,2S
9:15:00,9.7,70,2S
9:15:00,9.8,70,2S
9:15:00,9.37,5,2S
9:15:00,9.3,6,2S
9:15:00,9.6,2,2S
9:15:00,8.9,6,2B
9:15:00,8.85,6,2B
9:15:00,9.6,2,2S
9:15:00,8.8,6,2B
9:15:00,8.75,6,2B
9:15:00,9.08,10,2B
9:15:00,8.7,6,2B
9:15:00,9.15,11,2B
9:15:00,9.1,10,2B
9:15:00,10.1,10,2S
9:15:00,9.7,11.2,2S
9:15:00,9.28,36,2S
9:15:00,10,31.2,2S
9:15:00,10.06,10,2S
9:15:00,8.51,6,2B
9:15:00,8.85,3,2B
9:15:00,9.28,3,2S
9:15:00,9.38,3,2S
9:15:00,9.48,3,2S
9:15:00,9.33,3,2S
9:15:00,9.46,3,2S
9:15:00,10.12,1,2S
9:15:00,9.28,10,2S
9:15:00,9.39,5,2S
9:15:00,10.12,40,2S
9:15:00,10,2,2S
9:15:00,9.5,1,2S
9:15:00,9.49,17,2S
9:15:00,9.65,17,2S
9:15:00,9.75,17,2S
9:15:00,10.08,18,2S
9:15:00,9.05,12,2B
9:15:00,9.09,12,2B
9:15:00,9.56,20,2S
9:15:00,10.01,97,2S
9:15:00,8.94,1,2B
9:15:00,8.95,1,2B
9:15:00,8.96,1,2B
9:15:00,9.55,7,2S
9:15:00,9.09,1,2B
9:15:00,9.65,6,2S
9:15:00,9,2,2B
9:15:00,9.8,9,2S
9:15:00,9,4,2B
9:15:00,9.79,20,2S
9:15:00,9.11,10,2B
9:15:00,9.45,25,2S
9:15:00,9.32,10,2S
9:15:00,8.96,10,2B
9:15:00,9.27,5,2S
9:15:00,9.15,1000,2B
9:15:00,9.13,1000,2B
9:15:00,9.11,1000,2B
9:15:00,9.32,2,2S
9:15:00,10.12,80,2S
9:15:00,9.48,100,2S
9:15:00,9.43,1,2S
9:15:00,9.62,1,2S
9:15:00,9.8,2,2S
9:15:00,9.58,28,2S
9:15:00,9.06,100,2B
9:15:00,10,2,2S
9:15:00,9.59,106,2S
